,sales
293,0.857942125088929
532,-3.61343662315242
798,0.120859680556186
1134,-1.2288227459952
915,-3.88103608215807
1393,1.30681069303527
91,-1.31358581261839
464,-0.740497415282334
336,2.04255084348982
23,-0.624276179820197
696,-0.750599553194013
1066,0.0173045032205834
1078,-0.700492146894239
1336,0.454725892954114
90,-1.04230731147348
1053,1.06216053962671
978,-0.454984878749895
801,0.313284000622431
488,-0.103195896199962
284,0.180157680815483
109,0.326478135419604
1359,1.11071131222253
1166,0.092120495561982
795,-0.375323258800275
1061,-1.54176437533968
407,0.149272278689112
1221,-0.384050243164857
1169,0.0630471284535849
544,0.793275973433487
457,1.0719464078925
755,0.600414699507003
969,-0.52799087359682
403,1.09140398630234
627,-0.52799087359682
697,-0.46399489900829
557,0.120859680556186
1339,-0.182576533482023
803,-0.864503420390324
715,-0.11102150598377
1101,-0.52799087359682
784,-0.0798649612916989
223,-1.35449094370742
1319,-2.08237942903511
213,-0.166497507926827
1435,2.15391661442755
60,-0.134646376425235
547,-0.720414770338141
1253,-0.0202041649991604
770,-1.2288227459952
77,-0.680727014946593
1379,0.884400418048028
0,0.558791887384961
388,0.339603009711312
1186,1.12987068839845
439,-1.04003330204346
1388,0.857942125088929
756,-0.120444683836574
1412,0.540739217616467
542,-0.565309137671614
736,0.909539654159078
1196,-0.366626629014064
857,-0.23144348924322
794,0.0630471284535849
1046,-0.349323593639261
988,0.416937516135648
33,-0.0186929646968569
1418,0.189905381313117
277,-0.419266013044906
1023,1.35774110805044
1018,0.61792598607851
814,0.74810546458131
82,0.962135764277635
322,1.47682492018008
856,0.106531379981546
1364,0.365647858899283
490,-0.928891728987876
907,-0.603192847179647
717,1.78879140173044
1113,-0.885782482079389
880,0.293361324262918
1207,-0.437061662121858
1329,-0.574726388358437
1091,-0.500363216608289
573,-0.454984878749895
859,0.325820079678229
1140,0.423275373167641
944,-0.722415791594074
960,1.22352532893027
1272,0.149272278689112
1346,0.635548077001967
949,-0.641659401322197
911,-1.59795253411723
966,-0.52799087359682
309,1.92436094628098
1055,0.271261455219775
834,-0.661116904021447
281,0.259799981277508
1436,-0.269565822273165
1094,0.141235874074301
148,-0.419266013044906
397,0.041018076259305
575,-0.349323593639261
327,-0.345016480244094
486,-0.166497507926827
1322,-0.315072663364733
522,-0.118871685856992
842,-0.419266013044906
792,0.749216949294525
271,0.926159810403411
1115,0.247606762047309
86,0.106531379981546
164,-0.23144348924322
1254,-0.670902733986584
866,-0.641659401322197
193,-0.622352149947833
326,1.66092924885572
343,1.16775454141032
108,-0.928891728987876
155,-1.86770363055536
530,-0.661116904021447
1158,0.259799981277508
375,-2.5142057836474
1144,-0.281284594555985
688,0.38757464974617
480,1.67631568659915
1178,-1.45978101074522
1284,-0.574726388358437
1377,0.0113408008659554
1227,1.97451320896918
471,0.326478135419604
1224,-0.349323593639261
16,-0.281284594555985
946,1.20507294473702
654,-1.59795253411723
75,-1.51413682011143
134,0.191294812880812
1,0.212044161035307
437,-0.843403929467111
923,0.54677126848416
319,0.293361324262918
891,-0.190654988907751
1188,0.313284000622431
1430,-2.37471309804625
586,-0.491221423416781
321,1.88233829437389
567,1.60316167094735
1374,-1.51413682011143
251,0.857942125088929
1341,0.149272278689112
1062,-1.02869417486366
1298,0.749216949294525
62,0.485785714883509
1218,-1.50043668426764
89,-0.74857585765732
1155,0.189905381313117
643,1.99879239260181
156,-1.05142408782461
441,-0.864503420390324
1215,-0.994982111849982
653,1.85392561552184
414,0.782333789694154
1432,-0.103195896199962
552,-1.08591115796417
511,0.487822153449599
521,-0.264560256535585
1008,-1.2288227459952
624,-0.103195896199962
1431,0.279990797397429
473,2.42609580785655
926,0.135106338414657
887,1.18648336734694
180,0.149272278689112
649,0.528024343294223
675,-1.62652732926317
1312,-0.843403929467111
401,-0.0264096533886789
728,-1.20442965941304
345,-0.433492385156443
619,-2.27963480180223
250,-1.94810489181219
295,-0.392807794748514
881,0.163358410875599
765,0.410583552797079
262,-0.247947043766803
120,0.191294812880812
1067,-0.241332544142426
1234,-0.457018305451541
219,0.0074567524101257
267,0.184339920979772
368,-0.58417924283305
192,0.352659346846042
290,0.839038910926506
1408,0.804170478868849
1324,-1.86770363055536
1029,-0.103195896199962
788,0.293361324262918
546,-0.631987139389603
74,-1.09984028992749
1173,0.900142036309967
701,1.93765347884976
252,0.092120495561982
432,-0.770927109133034
1321,-1.75931604209475
596,0.381158405300788
1358,0.313284000622431
11,1.81794961727711
1191,-0.720414770338141
888,-0.272908442053028
209,-0.349323593639261
704,-2.77308365102807
1040,0.092120495561982
948,0.423275373167641
179,-1.27833468429768
971,-1.29086739660662
513,-0.546580381880547
312,-0.824565435123492
440,3.00664681188468
621,-0.52799087359682
160,-0.0644310820239277
877,-0.298121554471157
376,-0.298121554471157
205,0.198230412514873
288,-0.781153198986686
56,0.0848837858424785
384,0.910581656889738
500,-0.972757310303282
843,-0.200383716051981
768,2.92886386383691
231,2.20647492267929
1216,0.798249756518608
425,-0.52799087359682
1160,0.738079804827055
310,-0.0171826772252761
589,0.271934026167916
237,0.385004985503821
236,0.266548386019994
426,1.25095105320963
1177,-0.184190137797468
1293,-0.928891728987876
581,-0.85393141820353
1362,-0.363988837988923
175,0.941641504542098
1441,-0.80173171315697
873,-2.29836341730379
456,-1.32884692104154
731,0.721280516074943
1264,0.244889063575874
738,0.326478135419604
1399,0.365647858899283
317,1.20507294473702
1453,0.120859680556186
882,-0.85393141820353
967,-3.7041285246818
909,-0.193893693690289
152,0.326478135419604
558,0.847279911601456
886,-0.518747693200415
1316,1.25095105320963
1265,-0.781153198986686
998,0.528631281954144
1226,-0.315072663364733
1314,1.43065681837715
1317,-1.01740623984368
1300,1.38374086333292
574,-0.85393141820353
1258,-0.247947043766803
264,-2.06519543309095
291,-0.51137767309324
1244,0.163358410875599
599,1.25095105320963
154,-0.720414770338141
1357,1.59049394014492
22,0.804170478868849
773,2.15634212196627
1414,-0.770927109133034
796,-1.04003330204346
977,-1.04003330204346
1353,0.0483826801312966
724,-0.812084834491486
258,0.820423743690806
227,-1.13264658536541
316,1.11071131222253
1334,-0.52799087359682
107,-0.928891728987876
1328,0.771343508500751
1111,-0.624276179820197
427,-1.06268350551159
85,1.11071131222253
807,-0.103977355905292
1307,0.180157680815483
981,-0.104837243775675
592,-0.437061662121858
610,-0.298121554471157
1437,0.416937516135648
524,0.135106338414657
30,-3.56929517365909
10,-0.631987139389603
861,-0.23144348924322
438,-1.53205996755711
342,-1.61219911079864
710,-1.20987306454761
1348,0.454725892954114
458,-0.0876177750396684
669,0.0993363202078583
1383,-0.710433615471359
125,-1.69942656821881
257,0.693028411690218
1141,2.33860693714125
